elapsed_s,phase,sent,errors,rps,s200,s202,s400,s401,s429,s503,p50_ms,p95_ms,p99_ms
3.0,🌅 WARM-UP,434,0,145,434,0,0,0,0,0,1.1,2.5,6.1
6.0,🌅 WARM-UP,363,0,121,363,0,0,0,0,0,1.0,2.5,3.2
9.0,🌅 WARM-UP,386,0,129,386,0,0,0,0,0,1.1,2.8,4.4
12.0,📈 RAMP-UP,1704,0,568,1598,0,0,31,45,0,5.1,19.7,25.4
15.0,📈 RAMP-UP,3148,0,1049,2921,0,0,62,121,0,4.5,23.3,28.0
18.0,📈 RAMP-UP,3006,0,1002,2801,0,0,54,110,0,1.3,30.5,41.3
21.0,📈 RAMP-UP,3062,0,1021,2844,0,0,50,120,0,1.3,38.8,74.6
24.0,📈 RAMP-UP,2865,0,955,2659,0,0,50,112,0,1.3,158.7,349.1
27.0,🌪️ STORM,7830,0,2610,3383,0,0,43,4356,0,0.5,671.7,1722.2
30.0,🌪️ STORM,5316,0,1772,2377,0,0,60,2834,0,0.0,2040.4,3661.3
33.0,🌪️ STORM,7151,3,2384,3146,0,0,55,3905,0,0.5,1460.0,3803.5
36.0,🌪️ STORM,5410,14,1803,2451,0,0,53,2864,0,0.6,1820.8,3689.5
39.0,🌪️ STORM,4060,8,1353,1957,0,0,49,2007,0,0.0,2069.8,3806.7
42.0,🌪️ STORM,4490,30,1497,2118,0,0,45,2282,0,0.5,2586.1,4991.7
45.0,🌪️ STORM,4097,36,1366,1899,0,0,49,2105,0,0.0,2050.7,4620.7
48.0,🌪️ STORM,3809,30,1270,1812,0,0,45,1905,0,1.1,3149.1,4860.1
51.0,🌪️ STORM,3251,45,1084,1513,0,0,48,1645,0,0.0,2117.5,4113.0
54.0,🌪️ STORM,3466,55,1155,1678,0,0,56,1688,0,0.5,3125.5,5066.9
57.0,💀 ATTACK,3167,65,1056,1511,0,0,56,1556,0,0.0,2469.4,4723.2
60.0,💀 ATTACK,11168,61,3723,1652,0,0,51,9419,0,0.5,214.9,3942.1
63.0,💀 ATTACK,10551,57,3517,1294,0,0,50,9161,0,0.0,1.1,3119.8
66.0,💀 ATTACK,7886,108,2629,1041,0,0,60,6740,0,0.0,693.4,4207.9
69.0,💀 ATTACK,16150,51,5383,1836,0,0,43,14226,0,0.5,9.2,1925.8
72.0,💀 ATTACK,8378,53,2793,1072,0,0,61,7203,0,0.0,1.1,3653.0
75.0,💀 ATTACK,10809,142,3603,1288,0,0,53,9423,0,0.5,5.1,2168.5
78.0,🌤️ RECOVERY,6461,112,2154,881,0,0,50,5494,0,0.0,4.0,3768.5
81.0,🌤️ RECOVERY,930,146,310,902,0,0,15,3,0,2.7,4492.3,5680.9
84.0,🌤️ RECOVERY,574,97,191,547,0,0,16,1,0,781.1,5132.3,5901.3
87.0,🌤️ RECOVERY,802,62,267,769,0,0,16,7,0,1284.2,4778.7,5676.8
90.0,🌤️ RECOVERY,1122,23,374,1097,0,0,14,1,0,796.5,4378.3,5587.0
90.1,🌤️ RECOVERY,26,0,9,26,0,0,0,0,0,16.0,66.6,94.5
